9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9 
9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
9, 1, 1, 1, 1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 9 
9, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 9 
9, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 9 
9, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 9 
9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 9 
9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9 
9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9 
9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9 
9, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 9
9, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 9  
9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9 

